Title,Link,Website,Emails,Phone Numbers,Social Media Links,Stars,Reviews,Phone
Mulla & Mulla & Craigie Blunt & Caroe,https://www.google.com/maps/place/Mulla+%26+Mulla+%26+Craigie+Blunt+%26+Caroe/data=!4m7!3m6!1s0x3be7d1de7c008957:0xf89785bf8af9a9c9!8m2!3d18.9315465!4d72.8318234!16s%2Fg%2F1td7xk93!19sChIJV4kAfN7R5zsRyan5ir-Fl_g?authuser=0&hl=en&rclk=1,https://www.mullaandmulla.com/,"hdnanavati@mullas.net, bhantia@mullas.net, shardul.thacker@mullaandmulla.com, ypdandiwala@mullas.net, djkakalia@mullas.net, jnmistry@mullas.net, hnvakil@mullas.net, rhkhan@mullas.net, bvp@mullas.net, rksatpalkar@mullas.net, siddharth.thacker@mullaandmulla.com, khooshnumd@mullas.net, vijaya@mullas.net, bsingh@mullas.net, agnel@mullas.net, mullas@mullas.net, bangalore@mullaandmulla.com, mullasdelhi@mullas.net","400 001, +9122 62166300, 2287 5121, +9122 22044960, 560 025, +9180 41124164, 110 001, +911 23321501",,4.5,90,+91 22 6216 630
Ahlawat & Associates Law Firm Delhi,https://www.google.com/maps/place/Ahlawat+%26+Associates+Law+Firm+Delhi/data=!4m7!3m6!1s0x390ce3f26a00696b:0x8b8569d111e95bd2!8m2!3d28.5495949!4d77.267303!16s%2Fg%2F11cm3p7fh_!19sChIJa2kAavLjDDkR0lvpEdFphYs?authuser=0&hl=en&rclk=1,https://www.ahlawatassociates.com/,,,,4.2,60,+91 11 4102 340
FortuneLegal Advocates,https://www.google.com/maps/place/FortuneLegal+Advocates/data=!4m7!3m6!1s0x390ce2d60a2bf11d:0xf1698a64ede59cfa!8m2!3d28.6089855!4d77.2360969!16s%2Fg%2F1pp2vcn_j!19sChIJHfErCtbiDDkR-pzl7WSKafE?authuser=0&hl=en&rclk=1,http://www.fortunelegal.in/,info@fortunelegal.in,"+91 9811 253 529, 110017, 110 003","https://www.twitter.com/fortunelegalIN, https://www.facebook.com/fortunelegal, https://www.instagram.com/fortunelegal/, https://www.linkedin.com/company/fortunelegal/",4.6,53,+91 98112 53529
L&L Partners [formerly Luthra & Luthra Law Offices],https://www.google.com/maps/place/L%26L+Partners+%5Bformerly+Luthra+%26+Luthra+Law+Offices%5D/data=!4m7!3m6!1s0x3be7d1ebfc43ed5f:0x19c9152aa5a9ee32!8m2!3d19.0097174!4d72.83541!16s%2Fg%2F1tqpxqkf!19sChIJX-1D_OvR5zsRMu6ppSoVyRk?authuser=0&hl=en&rclk=1,http://www.luthra.com/,,,"https://www.youtube.com/embed/ao-b8A6HbkM?feature=oembed?playlist=ao-b8A6HbkM&amp, https://twitter.com/LuthraAndLuthra, https://www.youtube.com/channel/UCmO_H60RgutaioMuXlwQDKA",4.2,34,+91 22 6630 360
Global Jurix Law Firm Delhi India,https://www.google.com/maps/place/Global+Jurix+Law+Firm+Delhi+India/data=!4m7!3m6!1s0x390ce354a8a64597:0x2bc1c46806ea00ae!8m2!3d28.6258262!4d77.2804214!16s%2Fg%2F1td0r7x2!19sChIJl0WmqFTjDDkRrgDqBmjEwSs?authuser=0&hl=en&rclk=1,http://www.globaljurix.com/,,,,3.8,34,+91 98100 45265
S&R Associates,https://www.google.com/maps/place/S%26R+Associates/data=!4m7!3m6!1s0x3be7cee9a710726f:0xbe6277949c89703d!8m2!3d19.0065987!4d72.83274!16s%2Fg%2F11g877yzsb!19sChIJb3IQp-nO5zsRPXCJnJR3Yr4?authuser=0&hl=en&rclk=1,http://www.snrlaw.in/,,3 (2020,"https://www.linkedin.com/company/s&amp, https://www.linkedin.com/company/s&amp",4.4,15,+91 22 4302 800
Kochhar & Co. New Delhi,https://www.google.com/maps/place/Kochhar+%26+Co.+New+Delhi/data=!4m7!3m6!1s0x390ce17ec4578247:0x6feec20af11493fd!8m2!3d28.5384914!4d77.2895716!16s%2Fg%2F11bc70_b3w!19sChIJR4JXxH7hDDkR_ZMU8QrC7m8?authuser=0&hl=en&rclk=1,https://kochhar.com/?utm_source=SERP&utm_medium=New+Delhi+Office&utm_id=Google+Business,,,"https://www.facebook.com/Kochharandcompany, https://www.facebook.com/Kochharandcompany, https://twitter.com/KochharAndCo, https://www.youtube.com/channel/UCW9EIAK3dcTuKhI7fvQSpsw",4.4,56,+91 11 4111 522
Kochhar & Co. Chennai,https://www.google.com/maps/place/Kochhar+%26+Co.+Chennai/data=!4m7!3m6!1s0x3a5266177eb2154d:0x6518d68072c9df5f!8m2!3d13.0624752!4d80.2652858!16s%2Fg%2F1tkv85l0!19sChIJTRWyfhdmUjoRX9_JcoDWGGU?authuser=0&hl=en&rclk=1,https://kochhar.com/?utm_source=SERP&utm_medium=Chennai+Office&utm_id=Google+Business,,,"https://www.facebook.com/Kochharandcompany, https://www.facebook.com/Kochharandcompany, https://twitter.com/KochharAndCo, https://www.youtube.com/channel/UCW9EIAK3dcTuKhI7fvQSpsw",4.3,19,+91 44 4040 522
Lawyer In India Legal Consultants,https://www.google.com/maps/place/Lawyer+In+India+Legal+Consultants/data=!4m7!3m6!1s0x390ce795345bbd73:0xf8dca2c5370ba16d!8m2!3d28.4995081!4d77.2959741!16s%2Fg%2F11f9y2ddf5!19sChIJc71bNJXnDDkRbaELN8Wi3Pg?authuser=0&hl=en&rclk=1,http://www.lawyerinindia.com/,Info@lawyerinindia.com,"10000, 110 017, +91 70 616161",,4.7,30,Phone Number not found
AZB & Partners,https://www.google.com/maps/place/AZB+%26+Partners/data=!4m7!3m6!1s0x390ce450d275f617:0xf2ed01e99d9f8e0b!8m2!3d28.5817109!4d77.3232066!16s%2Fg%2F11b807wsh4!19sChIJF_Z10lDkDDkRC46fnekB7fI?authuser=0&hl=en&rclk=1,http://www.azbpartners.com/,,,"https://www.linkedin.com/feed/update/urn, https://www.linkedin.com/company/azb-partners/",4.2,234,+91 120 417 9999
Dentons Link Legal,https://www.google.com/maps/place/Dentons+Link+Legal/data=!4m7!3m6!1s0x390cfd355ee78263:0x69f1a1fe8afbf6ff!8m2!3d28.6342622!4d77.2349436!16s%2Fg%2F11d_brt393!19sChIJY4LnXjX9DDkR__b7iv6h8Wk?authuser=0&hl=en&rclk=1,https://www.dentonslinklegal.com/,,,"https://www.linkedin.com/company/link-legal-india-law-services/, https://www.youtube.com/channel/UCmYqYe1B2joLpTmCp5Gpx3w",4.3,63,+91 11 4651 100
INDIALAW LLP,https://www.google.com/maps/place/INDIALAW+LLP/data=!4m7!3m6!1s0x3b080d458d5841cf:0xff305e08d795d741!8m2!3d9.985102!4d76.2869596!16s%2Fg%2F11b6s8f75c!19sChIJz0FYjUUNCDsRQdeV1wheMP8?authuser=0&hl=en&rclk=1,https://www.indialaw.in/,,"400 001, 022-69247400","https://www.facebook.com/indialawllp/, https://twitter.com/Indialawmumbai, https://www.instagram.com/indialawllp, http://www.linkedin.com/company/indialaw, https://www.facebook.com/indialawllp/, https://twitter.com/Indialawmumbai, https://www.linkedin.com/company/indialaw, https://www.instagram.com/indialawllp",4.7,11,+91 484 236 7167
Trans India Law Associates (TILA),https://www.google.com/maps/place/Trans+India+Law+Associates+%28TILA%29/data=!4m7!3m6!1s0x390ce401d5fd6f65:0xd1f20d57f67cbcf!8m2!3d28.5383647!4d77.289584!16s%2Fg%2F11b7xldmr6!19sChIJZW_91QHkDDkRz8tnf9UgHw0?authuser=0&hl=en&rclk=1,https://www.tila.in/,,"+91-11-26943664, 10786, 110025, 110001, +91-11-26943664, +91-11-26970075, +91 9810070075, +91-8860635072, +91 9810070075, 580020, +91-9900558600","https://www.facebook.com/transindia, https://www.linkedin.com/company/trans-india-law-associates/, https://twitter.com/TILA_01234, https://www.facebook.com/transindia, https://www.linkedin.com/company/trans-india-law-associates/, https://twitter.com/TILA_01234, https://www.facebook.com/transindia, https://twitter.com/TILA_01234, https://www.linkedin.com/company/trans-india-law-associates/, https://www.pinterest.com/transindialaw",4.0,22,+91 98100 70075
Indian Attorneys Law Firm,https://www.google.com/maps/place/Indian+Attorneys+Law+Firm/data=!4m7!3m6!1s0x390cfb06388b8fd9:0x8cd0111a909a65f4!8m2!3d28.6418652!4d77.2938715!16s%2Fg%2F11nnlgl3p_!19sChIJ2Y-LOAb7DDkR9GWakBoR0Iw?authuser=0&hl=en&rclk=1,Not found,,,,5.0,13,+91 70422 20939
INDIALAW LLP,https://www.google.com/maps/place/INDIALAW+LLP/data=!4m7!3m6!1s0x390cfd2c4678ecb9:0xa74a7fa43613b73a!8m2!3d28.628781!4d77.232756!16s%2Fg%2F11cmcbz8m9!19sChIJuex4Riz9DDkROrcTNqR_Sqc?authuser=0&hl=en&rclk=1,https://www.indialaw.in/,,"400 001, 022-69247400","https://www.facebook.com/indialawllp/, https://twitter.com/Indialawmumbai, https://www.instagram.com/indialawllp, http://www.linkedin.com/company/indialaw, https://www.facebook.com/indialawllp/, https://twitter.com/Indialawmumbai, https://www.linkedin.com/company/indialaw, https://www.instagram.com/indialawllp",4.2,25,+91 11 2332 371
"KIAA,LLP (Advocates & Solicitors)","https://www.google.com/maps/place/KIAA,LLP+%28Advocates+%26+Solicitors%29/data=!4m7!3m6!1s0x390ce3075eaaaaab:0x148ba8d8a563f03a!8m2!3d28.5832633!4d77.2431578!16s%2Fg%2F11gzyck6g!19sChIJq6qqXgfjDDkROvBjpdioixQ?authuser=0&hl=en&rclk=1",http://www.kiaa.in/,,,,4.8,52,+91 98104 08400
Bhandari Law Firm,https://www.google.com/maps/place/Bhandari+Law+Firm/data=!4m7!3m6!1s0x390fed5050b6e55d:0x95f6912f78a0a33f!8m2!3d30.7395541!4d76.7847867!16s%2Fg%2F11fkvr3j93!19sChIJXeW2UFDtDzkRP6OgeC-R9pU?authuser=0&hl=en&rclk=1,http://www.bhandarilawfirm.com/,,,,4.7,97,+91 98556 77966
Swaroop & Company Law firm,https://www.google.com/maps/place/Swaroop+%26+Company+Law+firm/data=!4m7!3m6!1s0x390cfcdfdc4092d3:0xcd54c084a244ed34!8m2!3d28.6482446!4d77.2422078!16s%2Fg%2F11f4tnqxff!19sChIJ05JA3N_8DDkRNO1EooTAVM0?authuser=0&hl=en&rclk=1,Not found,,,,5.0,4,+91 93110 94110
India Juris,https://www.google.com/maps/place/India+Juris/data=!4m7!3m6!1s0x390ce3ab40000031:0xe9b55069410f6b4a!8m2!3d28.5743307!4d77.2449372!16s%2Fg%2F1tp25nkh!19sChIJMQAAQKvjDDkRSmsPQWlQtek?authuser=0&hl=en&rclk=1,http://www.indiajuris.com/,,,,4.2,25,+91 11 2981 481
P&Y Law Offices Gurgaon Lawyer Advocate,https://www.google.com/maps/place/P%26Y+Law+Offices+Gurgaon+Lawyer+Advocate/data=!4m7!3m6!1s0x390d18ad22159161:0x9e784266bde69b36!8m2!3d28.4385264!4d77.097623!16s%2Fg%2F11gfgmrzcw!19sChIJYZEVIq0YDTkRNpvmvWZCeJ4?authuser=0&hl=en&rclk=1,https://www.pylawoffices.com/home,contact@pylawoffices.comNEW,"91) 11 490 42, 91) 11 490 42, 1 2018, +91-7042333175, +91-8373932995",http://www.facebook.com/2008/fbml,4.9,59,+91 83739 32995
MAKEININDIA LAW FIRM,https://www.google.com/maps/place/MAKEININDIA+LAW+FIRM/data=!4m7!3m6!1s0x390ce51fb4d23011:0x8c654a14a738ca8c!8m2!3d28.608655!4d77.334094!16s%2Fg%2F11bz_3vlzy!19sChIJETDStB_lDDkRjMo4pxRKZYw?authuser=0&hl=en&rclk=1,http://www.makeinindialawfirm.com/,,,,4.7,9,+91 98911 70907
"Corrida Legal - Law firm (Lawyers), Gurgaon","https://www.google.com/maps/place/Corrida+Legal+-+Law+firm+%28Lawyers%29,+Gurgaon/data=!4m7!3m6!1s0x390d1963d693aaf7:0xe216be067b20d2fb!8m2!3d28.4437053!4d77.1005431!16s%2Fg%2F11qpptzfzl!19sChIJ96qT1mMZDTkR-9Igewa-FuI?authuser=0&hl=en&rclk=1",https://corridalegal.com/,"400063contact@corridalegal.com, contact@corridalegal.com, pushkar.thakur@corridalegal.com","400063, +91 8826680614, +91 8826680614, 122002, +91 8826680614, +91 7304790651","https://www.facebook.com/corridalegal147, https://twitter.com/CorridaLegal, https://www.instagram.com/corrida, https://www.linkedin.com/company/corrida-legal-corporate-legal-compliance-solutions-new-delhi-mumbai/",5.0,134,+91 88266 80614
India Law Offices LLP,https://www.google.com/maps/place/India+Law+Offices+LLP/data=!4m7!3m6!1s0x390ce25e653bd621:0x74052c1b1cd32fee!8m2!3d28.5693203!4d77.2249353!16s%2Fg%2F1q5gjddln!19sChIJIdY7ZV7iDDkR7i_THBssBXQ?authuser=0&hl=en&rclk=1,https://www.indialawoffices.com/,office@indialawoffices.com,"110049, +91-11-41647271, +91-11-44469739, 24622216, 24619750","https://www.facebook.com/indialawofficesllp/, https://www.facebook.com/indialawofficesllp/, https://www.facebook.com/indialawofficesllp/, https://www.facebook.com/indialawofficesllp/, https://www.facebook.com/indialawofficesllp/, https://www.facebook.com/indialawofficesllp/",4.1,38,+91 11 2462 221
Chandrawat & Partners,https://www.google.com/maps/place/Chandrawat+%26+Partners/data=!4m7!3m6!1s0x3962fd69864a9d5b:0x6e9f12321eaf5f05!8m2!3d22.7222643!4d75.8813984!16s%2Fg%2F11b6d21hq3!19sChIJW51Khmn9YjkRBV-vHjISn24?authuser=0&hl=en&rclk=1,http://www.chandrawatpartners.co/,,,"https://www.linkedin.com/company/chandrawatpartnerslawfirm, https://www.linkedin.com/company/chandrawatpartnerslawfirm, https://twitter.com/C_partnerslaw, http://www.facebook.com/chandrawatpartnerslawfirm, http://www.instagram.com/chandrawatpartnerslawfirm, https://www.linkedin.com/company/chandrawatpartnerslawfirm, https://twitter.com/C_partnerslaw, http://www.facebook.com/chandrawatpartnerslawfirm, http://www.instagram.com/chandrawatpartnerslawfirm, https://www.linkedin.com/company/chandrawatpartnerslawfirm, https://twitter.com/C_partnerslaw, http://www.facebook.com/chandrawatpartnerslawfirm, http://www.instagram.com/chandrawatpartnerslawfirm, https://www.linkedin.com/company/chandrawatpartnerslawfirm, https://twitter.com/C_partnerslaw, http://www.facebook.com/chandrawatpartnerslawfirm, http://www.instagram.com/chandrawatpartnerslawfirm, https://www.linkedin.com/company/chandrawatpartnerslawfirm/, https://twitter.com/i/flow/login?redirect_after_login=, https://www.facebook.com/chandrawatpartnerslawfirm, https://www.instagram.com/chandrawatpartnerslawfirm",5.0,24,Phone Number not found
Law Offices of India,https://www.google.com/maps/place/Law+Offices+of+India/data=!4m7!3m6!1s0x390d1d0b218e3cdf:0x555f005e3b1d7a5a!8m2!3d28.575655!4d77.161088!16s%2Fg%2F11c1r1srn2!19sChIJ3zyOIQsdDTkRWnodO14AX1U?authuser=0&hl=en&rclk=1,http://www.lawofficesofindia.com/,"info@lawofficesofindia.com, info@lawofficesofindia.com, info@lawofficesofindia.com, emailjohnsmith@example.comSubmit","110021, 2411 4333, 110021, 110001, 110003, 011-24114333, 110021, 110001, 110003, 011-24114333, 110021, 011-24114333, 110021, 110003, 011-24114333","https://www.youtube.com/watch?v=isjSVGAZ0Ok, https://www.youtube.com/watch?v=O6R3O0YtsIY, https://www.youtube.com/watch?v=9puqcXUwUoU, https://www.youtube.com/watch?v=hFyWqoIapJI, https://www.youtube.com/watch?v=nypwXIIaEq8, https://www.youtube.com/watch?v=CUE0YnmVlRQ, https://www.facebook.com/lawofficesofindia/, https://www.instagram.com/lawofficesofindia/, https://www.linkedin.com/company/law-offices-of-india-advocates-and-advisors/, https://www.facebook.com/lawofficesofindia/, https://www.instagram.com/lawofficesofindia/, https://www.linkedin.com/company/law-offices-of-india-advocates-and-advisors/, https://www.facebook.com/lawofficesofindia/, https://www.instagram.com/lawofficesofindia/, https://www.linkedin.com/company/lawofficesofindia/",3.6,20,+91 11 2411 433
KG Law Offices (Advocate Kunal Gosain),https://www.google.com/maps/place/KG+Law+Offices+%28Advocate+Kunal+Gosain%29/data=!4m7!3m6!1s0x390ce319081f2e53:0xf5efab8ce02448dd!8m2!3d28.6079744!4d77.236504!16s%2Fg%2F11nrzp2q15!19sChIJUy4fCBnjDDkR3Ugk4Iyr7_U?authuser=0&hl=en&rclk=1,https://www.linkedin.com/company/kg-law-offices,,,,5.0,37,+91 99994 49903
Chambers of Daksha Kumar,https://www.google.com/maps/place/Chambers+of+Daksha+Kumar/data=!4m7!3m6!1s0x390ce374dcbec421:0xf58fa69e8814604b!8m2!3d28.5767828!4d77.2339215!16s%2Fg%2F11rpdbyhcb!19sChIJIcS-3HTjDDkRS2AUiJ6mj_U?authuser=0&hl=en&rclk=1,https://www.chambersofdakshakumar.com/,"info@chambersofdakshakumar.inEmail, info@mysite.comTel","110024, +91 11-41515578, +91-8234044444, +91-7042063111, +91 11-41515578",https://www.linkedin.com/in/daksha-kumar-3655071a6,5.0,18,+91 11 4151 557
Regstreet Law Advisors,https://www.google.com/maps/place/Regstreet+Law+Advisors/data=!4m7!3m6!1s0x3be7d1d0f679b615:0xc64cb4c9d54c237a!8m2!3d18.9241074!4d72.8211184!16s%2Fg%2F11b_25z160!19sChIJFbZ59tDR5zsReiNM1cm0TMY?authuser=0&hl=en&rclk=1,http://www.regstreetlaw.com/,info@regstreetlaw.com,"400021, +91 22 4928 3700, +91 80972 46255","https://twitter.com/RegstreetLaw, https://www.linkedin.com/company/RegstreetLaw/, https://www.instagram.com/RegstreetLaw/, https://www.youtube.com/embed/eJogokY-rkE?feature=oembed&amp, https://www.youtube.com/embed/_8inmQplYUI?feature=oembed&amp, https://www.youtube.com/embed/gZ0GWCZhxp4?feature=oembed&amp, https://www.youtube.com/embed/TqwJuAc-wk8?feature=oembed&amp, https://www.youtube.com/embed/gDAE4WOEIu0?feature=oembed&amp, https://www.youtube.com/embed/IADnQ0kF0LM?feature=oembed&amp, https://twitter.com/RegstreetLaw, https://www.linkedin.com/company/RegstreetLaw/, https://www.instagram.com/RegstreetLaw/",4.8,19,+91 22 4928 370
"Aegis Legal LLP, Advocates","https://www.google.com/maps/place/Aegis+Legal+LLP,+Advocates/data=!4m7!3m6!1s0x390cfd677fa55555:0xd1f9b0a92cad391c!8m2!3d28.57546!4d77.232414!16s%2Fg%2F11cmh7mxzf!19sChIJVVWlf2f9DDkRHDmtLKmw-dE?authuser=0&hl=en&rclk=1",http://www.aegislegalllp.com/,,,,4.9,40,+91 98105 15155
Rautray & Co.,https://www.google.com/maps/place/Rautray+%26+Co./data=!4m7!3m6!1s0x390d1da54da0b36f:0xd4ac54201579c660!8m2!3d28.5684138!4d77.1625095!16s%2Fg%2F11b6zwlxjg!19sChIJb7OgTaUdDTkRYMZ5FSBUrNQ?authuser=0&hl=en&rclk=1,http://www.rautray.com/,,+91.11.46552244,,4.9,16,+91 98112 87117
ALMT Legal,https://www.google.com/maps/place/ALMT+Legal/data=!4m7!3m6!1s0x3be7d1e96fffffff:0xfa319df6f2ac37c8!8m2!3d18.9249196!4d72.8217162!16s%2Fg%2F1v16ns76!19sChIJ____b-nR5zsRyDes8vadMfo?authuser=0&hl=en&rclk=1,http://www.almtlegal.com/,,,,4.6,44,+91 22 4001 000
Advoknit Law Firm,https://www.google.com/maps/place/Advoknit+Law+Firm/data=!4m7!3m6!1s0x390cfd37b0366675:0xb38d608e899c5267!8m2!3d28.6452632!4d77.2808581!16s%2Fg%2F11gfdvfmwm!19sChIJdWY2sDf9DDkRZ1KciY5gjbM?authuser=0&hl=en&rclk=1,http://www.advoknit.com/,"rahuladvsc@gmail.comAMIT, apsinghadv8560@gmail.comAny, Advoknitlawfirm@Gmail.com","+91-7428666660, +91-8010666660, 9311625076, +91)9311625076, 110092, 201301",http://www.facebook.com/425876681504070,4.9,595,+91 93116 25076
Indian National Bar Association,https://www.google.com/maps/place/Indian+National+Bar+Association/data=!4m7!3m6!1s0x390ce38969c5cd45:0xb3066c4ff7bce95b!8m2!3d28.5828327!4d77.2452857!16s%2Fg%2F11b7r_p4rk!19sChIJRc3FaYnjDDkRW-m8909sBrM?authuser=0&hl=en&rclk=1,https://www.indianbarassociation.org/,,,,4.9,94,+91 11 4903 614
Sagus Legal,https://www.google.com/maps/place/Sagus+Legal/data=!4m7!3m6!1s0x390ce3571869e81f:0x1527bc3d8aac7379!8m2!3d28.558644!4d77.1981623!16s%2Fg%2F11ft39fnkc!19sChIJH-hpGFfjDDkReXOsij28JxU?authuser=0&hl=en&rclk=1,https://www.saguslegal.com/,"info@saguslegal.com, careers@saguslegal.com, internship@saguslegal.com","110029, 122001, +91 11 46552925",,5.0,10,+91 11 4655 292
ZBA,https://www.google.com/maps/place/ZBA/data=!4m7!3m6!1s0x3be7d1ebc28fffff:0xe7db2bf49b8cfdae!8m2!3d18.923936!4d72.82353!16s%2Fg%2F11gb3mz_sq!19sChIJ__-PwuvR5zsRrv2Mm_Qr2-c?authuser=0&hl=en&rclk=1,http://zba.co.in/,,,,4.8,5,+91 22 6743 501
Upscale Legal,https://www.google.com/maps/place/Upscale+Legal/data=!4m7!3m6!1s0x390d03e876f40c0d:0xb6f51c4cf98ed522!8m2!3d28.6915778!4d77.1518867!16s%2Fg%2F11m__fqjsb!19sChIJDQz0dugDDTkRItWO-Uwc9bY?authuser=0&hl=en&rclk=1,http://www.upscalelegal.com/,"40743info@upscalelegal.com1201, 40743info@upscalelegal.com1201","0123456789001234567, 89001234567890, 0123456789001234567, 89001234567890, 0123456789001234567, 89001234567890, 0123456789001234567, 8900123456789001234, 567890, +91 88824 40743, 110034, 08844, +91 88824 40743, 110034, 08844","https://www.facebook.com/people/Upscale-Legal/100064194515751/, https://www.facebook.com/people/Upscale-Legal/100064194515751/, https://twitter.com/upscale_legal, https://www.linkedin.com/company/upscale-legal/, https://www.facebook.com/people/Upscale-Legal/100064194515751/, https://twitter.com/upscale_legal, https://www.linkedin.com/company/upscale-legal?original_referer=",4.9,50,+91 88824 40743
Singh & Singh,https://www.google.com/maps/place/Singh+%26+Singh/data=!4m7!3m6!1s0x390ce300885dbfd5:0x76a9627d23d4d680!8m2!3d28.5729646!4d77.2338847!16s%2Fg%2F1z3t967vv!19sChIJ1b9diADjDDkRgNbUI31iqXY?authuser=0&hl=en&rclk=1,http://www.singhandsingh.com/,,,"https://www.facebook.com/singhlawfirmllp, https://twitter.com/singh_llp",4.3,69,+91 11 4982 600
Saurabh's Attorneys & Partners,https://www.google.com/maps/place/Saurabh%27s+Attorneys+%26+Partners/data=!4m7!3m6!1s0x390ce38c93814ae9:0xa330a5ea08b1ac45!8m2!3d28.6225219!4d77.2417096!16s%2Fg%2F11shj0_h_0!19sChIJ6UqBk4zjDDkRRayxCOqlMKM?authuser=0&hl=en&rclk=1,https://saurabhattorneys.in/,,,,5.0,111,+91 98102 59957
Solomon & Co Advocates and Solicitors - Fort Mumbai,https://www.google.com/maps/place/Solomon+%26+Co+Advocates+and+Solicitors+-+Fort+Mumbai/data=!4m7!3m6!1s0x3be7d1dcb03d4d07:0xe747a60326cd8847!8m2!3d18.9318457!4d72.8330005!16s%2Fg%2F11b63c_twv!19sChIJB009sNzR5zsRR4jNJgOmR-c?authuser=0&hl=en&rclk=1,https://solomonco.in/lawyers-in-fort-mumbai/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness_fortmumbai&utm_term=01,aaron.solomon@slmnco.in,,,4.6,27,+91 22 6627 390
"LexOrbis - Intellectual Property Law Firm, IP, Legal services","https://www.google.com/maps/place/LexOrbis+-+Intellectual+Property+Law+Firm,+IP,+Legal+services/data=!4m7!3m6!1s0x390cfd3456923d83:0xc96665bb65a84e6c!8m2!3d28.626792!4d77.220827!16s%2Fg%2F11cn8x077c!19sChIJgz2SVjT9DDkRbE6oZbtlZsk?authuser=0&hl=en&rclk=1",https://www.lexorbis.com/,,,"https://www.facebook.com/pages/LexOrbis/298828560272112?fref=ts, https://twitter.com/LexOrbisIP, https://www.linkedin.com/company/898363?trk=tyah&trkInfo=clickedVertical",4.4,57,+91 11 2371 656
Ozindia Law,https://www.google.com/maps/place/Ozindia+Law/data=!4m7!3m6!1s0x390ce2d950000001:0x56cc4cad39932822!8m2!3d28.608553!4d77.2354252!16s%2Fg%2F11c5rt126j!19sChIJAQAAUNniDDkRIiiTOa1MzFY?authuser=0&hl=en&rclk=1,Not found,,,,5.0,1,+91 98915 22525
TYGAR LAW CORPORATE,https://www.google.com/maps/place/TYGAR+LAW+CORPORATE/data=!4m7!3m6!1s0x390d055aa56bef3f:0x33cff18ee2bfb2be!8m2!3d28.628818!4d77.0771945!16s%2Fg%2F11fl769qdf!19sChIJP-9rpVoFDTkRvrK_4o7xzzM?authuser=0&hl=en&rclk=1,http://www.tygarlaw.com/,,"011 3562 2236, +91 92899 38015, 92899 38015, +91 92899 38015, 011 3562 2236, 110058, 201301, 011 3562 2236, +91 92899 38015","https://www.instagram.com/tygarlawcorporate/, https://www.instagram.com/tygarlawcorporate/",4.7,59,+91 11 3562 223
Kochhar & Co. Mumbai,https://www.google.com/maps/place/Kochhar+%26+Co.+Mumbai/data=!4m7!3m6!1s0x3be7d1e92dabdbdb:0x300619a6f154aa1b!8m2!3d18.9270342!4d72.8221687!16s%2Fg%2F11hdc3p1kd!19sChIJ29urLenR5zsRG6pU8aYZBjA?authuser=0&hl=en&rclk=1,https://kochhar.com/?utm_source=SERP&utm_medium=Mumbai+Office&utm_id=Google+Business,,,"https://www.facebook.com/Kochharandcompany, https://www.facebook.com/Kochharandcompany, https://twitter.com/KochharAndCo, https://www.youtube.com/channel/UCW9EIAK3dcTuKhI7fvQSpsw",4.2,9,+91 22 6112 070
SAMHITA LEGAL - Advocates and Consultants,https://www.google.com/maps/place/SAMHITA+LEGAL+-+Advocates+and+Consultants/data=!4m7!3m6!1s0x390ce3b72076faaf:0x8a0fa8c3c2b8567c!8m2!3d28.6223216!4d77.3660891!16s%2Fg%2F11bw46cjhk!19sChIJr_p2ILfjDDkRfFa4wsOoD4o?authuser=0&hl=en&rclk=1,https://www.samhitalegal.in/,,,,4.5,24,+91 120 351 3778
Top Law Firm in Rajasthan,https://www.google.com/maps/place/Top+Law+Firm+in+Rajasthan/data=!4m7!3m6!1s0x396db5adf9cc5881:0xfa395f1fbc16281b!8m2!3d26.9167902!4d75.7985125!16s%2Fg%2F11qttbcbzw!19sChIJgVjM-a21bTkRGygWvB9fOfo?authuser=0&hl=en&rclk=1,Not found,,,,4.8,30,Phone Number not found
Goswami & Nigam LLP,https://www.google.com/maps/place/Goswami+%26+Nigam+LLP/data=!4m7!3m6!1s0x390d2200da33b383:0x130f11ffec7dacad!8m2!3d28.3907141!4d77.0663275!16s%2Fg%2F11nrv71xft!19sChIJg7Mz2gAiDTkRrax97P8RDxM?authuser=0&hl=en&rclk=1,http://nglaw.in/,,"110014, 122101","https://www.linkedin.com/in/nishant-nigam-b95b362a/, https://www.linkedin.com/in/hg2008/, https://www.facebook.com/Goswami-Nigam-LLP-112713713981757, https://www.linkedin.com/company/goswami-nigam-llp/?viewAsMember=true",5.0,2,+91 98110 38966
Gandhi & Associates,https://www.google.com/maps/place/Gandhi+%26+Associates/data=!4m7!3m6!1s0x3be7c9a52893d11d:0x77ea5e184b4ce102!8m2!3d19.063199!4d72.8619789!16s%2Fg%2F11clkrslkb!19sChIJHdGTKKXJ5zsRAuFMSxhe6nc?authuser=0&hl=en&rclk=1,https://www.gandhiassociates.com/,,,,4.8,6,+91 22 6253 800
Advocate Kapil Chandna,https://www.google.com/maps/place/Advocate+Kapil+Chandna/data=!4m7!3m6!1s0x390ce2d940f1216d:0xe0dee02ef5441450!8m2!3d28.6157906!4d77.2351003!16s%2Fg%2F11g9q6dvzl!19sChIJbSHxQNniDDkRUBRE9S7g3uA?authuser=0&hl=en&rclk=1,http://www.kapilchandna.legal/,,,,4.8,220,+91 98990 11450
